"id";"codigo";"medicamento";"Mtipo";"Mstatus";"date_mod";"usuario_mod"
"1";"602";"DIAZEPAM 5MG/ML";"2";"1";"2018-12-18 11:32:33";"50"
"2";"603";"ETOMIDATO 2MG/ML";"10";"1";"2018-08-01 10:00:00";"15"
"3";"604";"FENITOÍNA SÓDICA 50MG/ML";"5";"1";"2018-08-01 10:00:00";"15"
"4";"605";"FENOBARBITAL SÓDICO 100MG/ML";"2";"1";"2018-08-01 10:00:00";"15"
"5";"606";"CITRATO DE FENTANILA 50MCG/ML (10ml)";"10";"1";"2019-09-16 11:08:41";"50"
"6";"607";"FLUMAZENIL 0,1MG/ML";"5";"1";"2018-08-01 10:00:00";"15"
"7";"608";"HALOPERIDOL 5MG/ML";"1";"1";"2018-08-01 10:00:00";"15"
"8";"610";"MIDAZOLAM 5MG/ML";"3";"1";"2018-08-01 10:00:00";"15"
"9";"611";"SULFATO DE MORFINA 10MG/ML";"1";"1";"2018-08-01 10:00:00";"15"
"10";"612";"CLORIDRATO DE NALOXONA 0,4MG/ML";"1";"1";"2018-08-01 10:00:00";"15"
"11";"613";"CLORIDRATO DE TRAMADOL 50MG/ML";"2";"1";"2018-08-01 10:00:00";"15"
"12";"614";"ÁCIDO ACETILSALICÍLICO 100MG";"30";"1";"2018-08-01 10:00:00";"15"
"13";"615";"ADENOSINA 3MG/ML";"2";"1";"2018-08-01 10:00:00";"15"
"14";"616";"ÁGUA PARA INJEÇÃO";"40";"1";"2018-08-01 10:00:00";"15"
"15";"618";"BROMETO DE VECURÔNIO 4MG";"52";"1";"2018-08-01 10:00:00";"15"
"16";"620";"BUTILBROMETO DE ESCOPOLAMINA 20MG/ML";"1";"1";"2018-08-01 10:00:00";"15"
"17";"621";"BUTILBROMETO DE ESCOPOLAMINA 4MG/ML + DIPIRONA 500MG/ML";"5";"1";"2018-08-01 10:00:00";"15"
"18";"622";"CAPTOPRIL 25MG";"30";"1";"2018-08-01 10:00:00";"15"
"19";"624";"CLORIDRATO DE AMIODARONA 50MG/ML";"3";"1";"2018-08-01 10:00:00";"15"
"20";"625";"CLORIDRATO DE DOBUTAMINA 12,5MG/ML";"20";"1";"2018-08-01 10:00:00";"15"
"21";"627";"CLORIDRATO DE LIDOCAÍNA A 1% SEM EPINEFRINA";"53";"0";"2026-03-16 08:48:51";"50"
"22";"629";"CLORIDRATO DE METOCLOPRAMIDA 5MG/ML";"2";"1";"2018-08-01 10:00:00";"15"
"23";"630";"CLORIDRATO DE ONDANSENTRONA 2MG/ML";"2";"1";"2023-05-02 10:26:05";"76"
"24";"632";"CLORIDRATO DE PROMETAZINA 25MG/ML";"2";"1";"2018-08-01 10:00:00";"15"
"25";"634";"CLORIDRATO DE RANITIDINA 25MG/ML";"2";"0";"2021-01-15 14:04:15";"50"
"26";"635";"CLORETO DE SUXAMETÔNIO 100MG";"51";"1";"2018-08-01 10:00:00";"15"
"27";"638";"DINITRATO DE ISOSSORBIDA 5MG";"30";"1";"2018-08-01 10:00:00";"15"
"28";"639";"DIPIRONA SÓDICA 500MG/ML";"2";"1";"2018-08-01 10:00:00";"15"
"29";"640";"FUROSEMIDA 10MG/ML";"2";"1";"2018-08-01 10:00:00";"15"
"30";"641";"GLICONATO DE CÁLCIO 10%";"10";"1";"2018-08-01 10:00:00";"15"
"31";"645";"HEMITARTARATO DE NOREPINEFRINA (NORADRENALINA) 2MG/ML";"4";"1";"2019-11-28 07:33:48";"50"
"32";"648";"METILDOPA 250MG";"30";"0";"2021-05-12 10:59:48";"50"
"33";"649";"NITROGLICERINA 5MG/ML";"5";"1";"2018-08-01 10:00:00";"15"
"34";"650";"NITROPRUSSETO DE SÓDIO 50MG";"52";"1";"2018-08-01 10:00:00";"15"
"35";"653";"SUCCINATO DE HIDROCORTISONA 500MG";"51";"1";"2018-08-01 10:00:00";"15"
"36";"654";"SULFATO DE ATROPINA 0,250MG/ML";"1";"1";"2018-08-01 10:00:00";"15"
"37";"655";"SULFATO DE MAGNÉSIO 50%";"40";"1";"2018-08-01 10:00:00";"15"
"38";"656";"TARTARATO DE METOPROLOL 1MG/ML";"5";"1";"2019-07-08 14:01:08";"50"
"39";"658";"TENOXICAM 40MG";"51";"1";"2018-08-01 10:00:00";"15"
"40";"659";"CLORIDRATO DE TIAMINA 100MG/ML (VITAMINA B1)";"1";"1";"2018-08-01 10:00:00";"15"
"41";"1026";"CITRATO DE FENTANILA 50MCG/ML (2ml)";"2";"1";"2019-09-16 11:08:18";"50"
"42";"1029";"CLOPIDOGREL 75MG";"30";"1";"2019-01-24 12:08:18";"50"
"43";"1947";"CLORIDRATO DE DOPAMINA 5MG/ML";"10";"1";"2018-12-18 11:36:18";"50"
"44";"1949";"CLORIDRATO DE CLORPROMAZINA 5MG/ML";"5";"0";"2021-08-03 08:00:47";"50"
"45";"5040";"CLORIDRATO DE ESCETAMINA 50MG/ML";"2";"1";"2023-12-13 15:23:43";"76"
"46";"3733";"DIMENIDRINATO 50MG/ML  +PIRIDOXINA 50MG/ML  ";"1";"1";"2021-10-08 11:20:39";"50"
"47";"644";"HEMITARTARATO DE EPINEFRINA (ADRENALINA) 1MG/ML";"1";"1";"2023-04-12 11:55:30";"76"
"48";"651";"SALBUTAMOL SPRAY 100MCG/DOSE";"50";"1";"2022-10-25 09:35:30";"50"
"49";"652";"SUCCINATO DE HIDROCORTISONA 100MG";"51";"1";"2021-12-27 07:47:25";"50"
"50";"2455";"CLORIDRATO DE LIDOCAÍNA A 2% GELEIA ESTÉRIL";"60";"1";"2018-08-01 10:00:00";"15"
"51";"642";"GLICOSE 50%";"40";"1";"2019-01-07 10:37:49";"50"
"54";"1960";"MANITOL 20%";"70";"1";"2018-09-20 12:56:40";"48"
"55";"668";"BICARBONATO DE SÓDIO 8,4%";"54";"1";"2018-09-20 12:57:09";"48"
"56";"3866";"Hidralazina 20mg/ml";"1";"0";"2021-08-03 08:02:56";"50"
"57";"3866";"HIDRALAZINA 20MG/ML";"1";"1";"2020-05-28 09:08:00";"50"
"58";"3868";"NIFEDIPINO 10MG";"30";"1";"2020-12-16 08:31:36";"50"
"59";"3998";"OMEPRAZOL 40MG";"52";"1";"2020-12-16 08:32:19";"50"
"60";"4513";"ÁCIDO TRANEXÂMICO (Transamin)";"5";"1";"2022-01-14 12:08:22";"50"
"61";"5038";"METILERGOMETRINA 0,2MG/ML";"1";"1";"2024-07-25 09:32:45";"76"
"62";"5039";"CLORETO DE POTÁSSIO 10%";"40";"1";"2024-07-25 09:33:42";"76"
"63";"5394";"CLORIDRATO DE LIDOCAÍNA A 2% SEM EPINEFRINA";"53";"1";"2026-03-05 08:22:11";"50"
