"id";"produto";"cod";"cod25";"unid";"material";"tipo";"cme";"ordem"
"7";"ABOCATH 14";"32";"2566";"0";"0";"2";"0";"23"
"8";"ABOCATH 16";"33";"2567";"0";"0";"2";"0";"24"
"9";"ABOCATH 18";"34";"2568";"0";"0";"2";"0";"25"
"10";"ABOCATH 20";"35";"2569";"0";"0";"2";"0";"26"
"11";"ABOCATH 22";"36";"2570";"0";"0";"2";"0";"27"
"12";"ABOCATH 24";"37";"2571";"0";"0";"2";"0";"28"
"13";"AGUA OXIGENADA 1L";"565";"2528";"0";"0";"2";"0";"30"
"14";"AGULHA DE SEGURANÇA 25X07";"503";"2533";"0";"0";"2";"0";"38"
"15";"AGULHA DE SEGURANÇA 40X12";"963";"2534";"0";"0";"2";"0";"39"
"16";"ALCOOL 70%  ALMOTOLIA DE 250ML";"1963";"2529";"0";"0";"2";"0";"40"
"17";"APARELHO DE PA ADULTO";"412";"3101";"0";"0";"2";"0";"59"
"18";"APARELHO DE PA NEO";"414";"3099";"0";"0";"2";"0";"61"
"19";"APARELHO DE PA PEDIÁTRICO";"413";"3102";"0";"0";"2";"0";"60"
"20";"APARELHO TRICOTOMIZADOR";"504";"2535";"0";"0";"2";"0";"63"
"21";"ATADURA 10 cm";"11";"2536";"0";"0";"2";"0";"67"
"22";"ATADURA 15 cm";"12";"2537";"0";"0";"2";"0";"68"
"23";"ATADURA 20 cm";"13";"2538";"0";"0";"2";"0";"69"
"24";"AVENTAL TNT DESCARTÁVEL";"14";"0";"0";"0";"2";"0";"62"
"25";"BACHAL";"55";"3120";"0";"0";"2";"0";"154"
"26";"BATERIA 3V (GLICOSÍMETRO)";"544";"2544";"0";"0";"2";"0";"1"
"27";"BATERIA 9V (DETECTOR FETAL)";"447";"3103";"0";"0";"2";"0";"1"
"28";"CÂNULA DE GUEDEL Nº 0";"329";"0";"0";"0";"2";"1";NULL
"29";"CÂNULA DE GUEDEL Nº 1";"330";"0";"0";"0";"2";"1";NULL
"30";"CÂNULA DE GUEDEL Nº 2";"331";"0";"0";"0";"2";"1";NULL
"31";"CÂNULA DE GUEDEL Nº 3";"332";"0";"0";"0";"2";"1";NULL
"32";"CÂNULA DE GUEDEL Nº 4";"333";"0";"0";"0";"2";"1";NULL
"33";"CÂNULA DE GUEDEL Nº 5";"334";"0";"0";"0";"2";"1";NULL
"34";"CÂNULA TRAQUEOSTOMIA Nº 3,5";"4008";"0";"0";"0";"1";"0";"74"
"36";"CÂNULA TRAQUEOSTOMIA Nº 7,5";"17";"0";"0";"0";"1";"0";"76"
"37";"CÂNULA TRAQUEOSTOMIA Nº 8";"18";"0";"0";"0";"1";"0";"77"
"38";"CATETER ÓCULO ADULTO";"20";"2557";"0";"0";"2";"0";"78"
"39";"COLAR CERVICAL G";"22";"3113";"0";"0";"2";"0";"102"
"40";"COLAR CERVICAL M";"23";"3112";"0";"0";"2";"0";"103"
"41";"COLAR CERVICAL NEO";"547";"3108";"0";"0";"2";"0";"107"
"42";"COLAR CERVICAL P";"24";"3111";"0";"0";"2";"0";"105"
"43";"COLAR CERVICAL PEDIÁTRICO";"546";"3109";"0";"0";"2";"0";"104"
"44";"COLAR CERVICAL PP";"25";"3110";"0";"0";"2";"0";"106"
"45";"COLETOR DE URINA SISTEMA ABERTO";"27";"0";"0";"0";"1";"0";"82"
"46";"COLETOR DE URINA SISTEMA FECHADO";"342";"0";"0";"0";"1";"0";"83"
"47";"COLETOR DE PERFURO CORTANTE PEQUENO";"1983";"0";"0";"0";"2";"0";"80"
"48";"COLETOR DE PERFURO CORTANTE GRANDE";"876";"2558";"0";"0";"2";"0";"81"
"49";"COMPRESSA 45X50";"29";"2539";"0";"0";"2";"0";"108"
"52";"DISPOSITIVO PUNÇÃO INTRAÓSSEA ILLINOIS Nº 18";"1971";"0";"0";"0";"1";"0";"37"
"53";"ELETRODO";"38";"2579";"0";"0";"2";"0";"122"
"54";"ELETRODO PEDIÁTRICO";"39";"0";"0";"0";"2";"0";"121"
"55";"EMBALAGEM SMS";"40";"3116";"0";"0";"2";"0";NULL
"56";"EQUIPO MACROGOTAS";"41";"2580";"0";"0";"2";"0";"123"
"57";"EQUIPO MICROGOTAS";"42";"2540";"0";"0";"2";"0";"124"
"58";"ESPARADRAPO";"43";"2540";"0";"0";"2";"0";"125"
"59";"ESTETOSCÓPIO ADULTO";"44";"2581";"0";"0";"2";"0";"126"
"60";"ESTETOSCÓPIO INFANTIL";"45";"2582";"0";"0";"2";"0";"127"
"61";"EXTENSOR DE OXIGÊNIO";"551";"2584";"0";"0";"2";"1";NULL
"62";"EXTENSOR EQUIPO (USA)";"3776";"0";"0";"0";"1";"0";"128"
"63";"FIO DE SUTURA NYLON Nº: 3";"422";"0";"0";"0";"1";"0";"143"
"64";"FIO GUIA INFANTIL";"49";"0";"0";"0";"1";"1";NULL
"65";"FIO GUIA ADULTO";"48";"0";"0";"0";"1";"1";NULL
"66";"FITA PARA AUTOCLAVE";"57";"0";"0";"0";"2";"0";NULL
"67";"FITA PARA ECG";"188";"0";"0";"0";"2";"0";"147"
"68";"FITA DE GLICEMIA";"51";"2591";"0";"0";"2";"0";"155"
"69";"FITA ZEBRADA";"162";"0";"0";"0";"2";"0";"146"
"70";"FIXADOR DE TUBO";"52";"0";"0";"0";"1";"0";"145"
"72";"GAZE";"53";"2541";"0";"0";"2";"0";"140"
"73";"GEL CONDUTOR";"391";"0";"0";"0";"2";"0";"156"
"74";"DRENO TÓRAX Nº: 10";"5496";"2573";"0";"0";"1";"0";"92"
"75";"DRENO TÓRAX N: 14";"427";"0";"0";"0";"1";"0";"84"
"76";"DRENO TÓRAX N: 18";"2574";"2575";"0";"0";"1";"0";"85"
"77";"DRENO TÓRAX N: 20";"428";"0";"0";"0";"1";"0";"86"
"78";"DRENO TÓRAX N: 24";"429";"0";"0";"0";"1";"0";"87"
"79";"DRENO TÓRAX N: 26";"430";"2576";"0";"0";"1";"0";"88"
"80";"DRENO TÓRAX N: 28";"431";"0";"0";"0";"1";"0";"89"
"81";"DRENO TÓRAX N: 30";"432";"2577";"0";"0";"1";"0";"90"
"82";"DRENO TÓRAX N: 32";"433";"0";"0";"0";"1";"0";"91"
"83";"KIT PARTO";"56";"2600";"0";"0";"2";"0";"130"
"84";"LABSEPTIC SPRAY DESINFETANTE HOSPITALAR";"302";"2564";"0";"0";"2";"0";"131"
"85";"LÁMINA DE BISTURI Nº 11";"435";"3121";"0";"0";"1";"0";"119"
"86";"LÁMINA DE BISTURI Nº 15";"436";"3122";"0";"0";"1";"0";"120"
"87";"LANCETA";"58";"2592";"0";"0";"2";"0";"132"
"88";"LANTERNA LED (TROCA)";"116";"3124";"0";"0";"2";"0";"117"
"89";"LANTERNA PUP (TROCA)";"59";"2601";"0";"0";"2";"0";"118"
"91";"LENÇOL DESCARTÁVEL";"60";"2602";"0";"0";"2";"0";"116"
"92";"LUVA CIR ESTÉRIL Nº: 7";"61";"2603";"0";"0";"2";"0";"112"
"93";"LUVA CIR ESTÉRIL Nº: 7,5";"62";"2604";"0";"0";"2";"0";"113"
"94";"LUVA CIR ESTÉRIL Nº: 8";"63";"2605";"0";"0";"2";"0";"114"
"95";"LUVA CIR ESTÉRIL Nº: 8,5";"64";"2606";"0";"0";"2";"0";"115"
"96";"LUVA DE VAQUETA";"119";"0";"0";"0";"2";"0";NULL
"97";"LUVA G";"67";"2610";"0";"0";"2";"0";"109"
"98";"LUVA M";"66";"2611";"0";"0";"2";"0";"110"
"99";"LUVA P";"65";"2612";"0";"0";"2";"0";"111"
"100";"MANÔMETRO AR";"541";"2613";"0";"0";"2";"0";"135"
"101";"MANÔMETRO COM FLUXÔMETRO PARA O2";"540";"3125";"0";"0";"2";"0";"137"
"102";"MANÔMETRO SEM FLUXÔMETRO PARA O2";"539";"2691";"0";"0";"2";"0";"136"
"103";"MANTA TÉRMICA ADULTO";"72";"2617";"0";"0";"2";"0";"72"
"104";"MANTA TÉRMICA PEDIÁTRICO";"73";"2618";"0";"0";"2";"0";"73"
"105";"MÁSCARA ALTO FLUXO ADULTO";"75";"2620";"0";"0";"2";"1";NULL
"106";"MÁSCARA ALTO FLUXO PEDIÁTRICO";"76";"2621";"0";"0";"2";"1";NULL
"107";"MÁSCARA DESCARTÁVEL";"74";"2619";"0";"0";"2";"0";"64"
"108";"MÁSCARA LARÍNGEA Nº: 1";"78";"2622";"0";"0";"1";"1";NULL
"109";"MÁSCARA LARÍNGEA Nº: 2";"79";"2623";"0";"0";"1";"1";NULL
"110";"MÁSCARA LARÍNGEA Nº: 3";"80";"2624";"0";"0";"1";"1";NULL
"111";"MÁSCARA LARÍNGEA Nº: 4";"81";"2625";"0";"0";"1";"1";NULL
"112";"MÁSCARA LARÍNGEA Nº: 5";"82";"2626";"0";"0";"1";"1";NULL
"114";"MICROPORE";"83";"2542";"0";"0";"2";"0";"70"
"115";"MULTIVIAS 2 VIAS";"84";"2632";"0";"0";"2";"0";"71"
"116";"PÁS PARA DEA FRX PHILIPS";"2292";"2533";"0";"0";"2";"0";"33"
"119";"PERA DE ASPIRA Nº: 6";"394";"0";"0";"0";"2";"1";NULL
"120";"PERA DE ASPIRA Nº: 8";"395";"0";"0";"0";"2";"1";NULL
"121";"PILHA AAA (LANTERNA PUPILAR)";"3504";"3505";"0";"0";"2";"0";"1"
"122";"PILHA AA (OXÍMETRO)";"3502";"2545";"0";"0";"2";"0";"1"
"123";"PILHA C (LARINGOSCÓPIO)";"88";"2547";"0";"0";"1";"0";"1"
"124";"REANIMADOR MANUAL ADULTO";"94";"3134";"0";"0";"2";"1";NULL
"125";"REANIMADOR MANUAL NEO";"96";"0";"0";"0";"2";"1";NULL
"126";"REANIMADOR MANUAL PEDIÁTRICO";"95";"0";"0";"0";"2";"1";NULL
"127";"RESERVATÓRIO  REANIMADOR ADULTO";"92";"2630";"0";"0";"2";"0";"34"
"128";"RESERVATÓRIO REANIMADOR  PEDIÁTRICO / NEO";"93";"2631";"0";"0";"2";"0";"35"
"129";"RINGER COM LACTATO";"1961";"2526";"0";"0";"2";"0";"186"
"130";"SERINGA 1 ML";"455";"2644";"0";"0";"2";"0";"17"
"131";"SERINGA 5ML";"101";"2647";"0";"0";"2";"0";"18"
"132";"SERINGA 10ML";"102";"2645";"0";"0";"2";"0";"19"
"133";"SERINGA 20ML";"103";"2646";"0";"0";"2";"0";"20"
"134";"SERINGA 60ML";"2466";"2648";"0";"0";"1";"0";"21"
"136";"SONDA ASPIRAÇÃO TRAQUEAL Nº: 6";"460";"2649";"0";"0";"2";"0";"1"
"137";"SONDA ASPIRAÇÃO TRAQUEAL Nº: 10";"462";"2650";"0";"0";"2";"0";"3"
"138";"SONDA ASPIRAÇÃO TRAQUEAL Nº: 14";"464";"2651";"0";"0";"2";"0";"4"
"139";"SONDA ASPIRAÇÃO TRAQUEAL Nº: 18";"466";"2652";"0";"0";"2";"0";"5"
"140";"SONDA FOLLEY Nº 6";"467";"3139";"0";"0";"1";"0";"11"
"141";"SONDA FOLLEY Nº 10";"469";"2661";"0";"0";"1";"0";"12"
"142";"SONDA FOLLEY Nº 14";"471";"2662";"0";"0";"1";"0";"13"
"143";"SONDA FOLLEY Nº 18";"473";"2663";"0";"0";"1";"0";"14"
"144";"SONDA NASOGÁSTRICA Nº 6";"477";"2654";"0";"0";"2";"0";"6"
"145";"SONDA NASOGÁSTRICA Nº 10";"479";"2655";"0";"0";"2";"0";"7"
"146";"SONDA NASOGÁSTRICA Nº 14";"481";"2656";"0";"0";"2";"0";"8"
"148";"SONDA NASOGÁSTRICA Nº 18";"483";"2657";"0";"0";"2";"0";"9"
"150";"SONDA NASOGÁSTRICA Nº 22";"485";"2653";"0";"0";"2";"0";"10"
"151";"SONDA URETRAL Nº 4";"486";"2658";"0";"0";"1";"0";"15"
"152";"SONDA URETRAL Nº 6";"487";"2659";"0";"0";"1";"0";"16"
"157";"SORO FISIOLÓGICO 250ML";"568";"2521";"0";"0";"2";"0";"188"
"158";"SORO FISIOLÓGICO 500ML";"564";"2522";"0";"0";"2";"0";"187"
"159";"SORO GLICOSADO 250ML";"569";"2523";"0";"0";"2";"0";"190"
"160";"SORO GLICOSADO 500ML";"559";"2524";"0";"0";"2";"0";"191"
"161";"TALA DE IMOB EG";"521";"0";"0";"0";"2";"0";"148"
"162";"TALA DE IMOB GG";"520";"0";"0";"0";"2";"0";"149"
"163";"TALA DE IMOB G";"519";"0";"0";"0";"2";"0";"150"
"164";"TALA DE IMOB M";"518";"0";"0";"0";"2";"0";"151"
"165";"TALA DE IMOB P";"517";"0";"0";"0";"2";"0";"152"
"166";"TALA DE IMOB PP";"516";"0";"0";"0";"2";"0";"153"
